filename,t_load_ms,t_proc_ms,t_total_ms,cpu_pct,mem_pct
IMG_1862.JPEG,15.30,11.15,26.44,14.9,50.6
IMG_1863.JPEG,14.41,7.61,22.02,5.9,50.6
IMG_1864.JPEG,24.02,7.02,31.04,3.1,50.6
IMG_1865.JPEG,14.30,6.97,21.27,16.7,50.6
IMG_1866.JPEG,14.39,8.31,22.70,54.8,50.6
IMG_1867.JPEG,15.71,7.14,22.86,10.0,50.6
IMG_1868.JPEG,15.30,7.81,23.11,15.8,50.6
IMG_1869.JPEG,14.72,7.31,22.02,7.1,50.6
IMG_1870.JPEG,15.22,7.02,22.24,15.0,50.6
IMG_1871.JPEG,14.56,8.22,22.78,15.8,50.6
IMG_1872.JPEG,16.07,10.40,26.48,37.9,50.7
IMG_1873.JPEG,19.57,10.66,30.24,65.6,50.9
IMG_1874.JPEG,18.27,8.21,26.48,68.8,51.0
IMG_1875.JPEG,16.16,8.04,24.20,15.6,51.0
IMG_1876.JPEG,16.30,6.99,23.29,12.5,51.1
IMG_1877.JPEG,14.86,8.60,23.47,12.5,51.1
IMG_1878.JPEG,15.34,8.18,23.52,25.0,51.2
IMG_1879.JPEG,14.71,7.74,22.45,54.5,51.2
IMG_1880.JPEG,15.29,8.08,23.37,18.8,51.2
IMG_1881.JPEG,15.46,8.99,24.45,28.1,51.2
IMG_1885.JPEG,16.02,8.77,24.79,56.2,51.2
IMG_1886.JPEG,16.74,8.06,24.80,25.0,51.2
IMG_1887.JPEG,15.83,9.47,25.30,56.2,51.2
IMG_1888.JPEG,15.29,7.80,23.08,56.2,51.2
IMG_1889.JPEG,38.87,8.41,47.29,37.5,51.3
IMG_1890.JPEG,124.29,7.70,131.98,11.7,51.1
IMG_1891.JPEG,15.37,7.46,22.83,12.5,51.1
IMG_1892.JPEG,15.44,12.95,28.39,25.0,51.1
IMG_1894.JPEG,15.57,8.97,24.54,12.5,51.1
IMG_1895.JPEG,16.01,14.19,30.21,28.1,51.1
IMG_1896.JPEG,16.05,10.34,26.39,52.9,51.2
IMG_1897.JPEG,15.23,14.65,29.88,15.6,51.2
IMG_1898.JPEG,16.00,13.66,29.67,15.6,51.1
IMG_1899.JPEG,15.13,13.21,28.34,12.5,51.2
IMG_1900.JPEG,16.34,12.96,29.30,38.1,51.2
IMG_1901.JPEG,20.06,8.75,28.81,41.9,51.2
